NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
4202490,PA,Annville-Cleona School District,Annville-Cleona School District,2020,"32,841,391",,"32,841,391",,"32,841,391",,,
2703180,MN,Anoka-Hennepin Independent School Dist No. 11,Anoka-Hennepin Independent School Dist No. 11,2020,"332,974,176",,"332,974,176","26,171,553","359,145,729",,,
3100010,NE,Anselmo Merna Public Schools,Anselmo Merna Public Schools,2020,"934,201",,"934,201",,"934,201",,,
3103060,NE,Ansley School District No. 44,Ansley School District No. 44,2020,"914,246",,"914,246",,"914,246",,,
3700180,NC,Anson County Board of Education,Anson County Board Of Education,2020,"12,040,184",,"12,040,184",,"12,040,184",,,
4808400,TX,Anson Independent School District,Anson Independent School District,2020,"1,774,479",,"1,774,479","4,205,312","5,979,791",,,
3904662,OH,Ansonia Local School District,Ansonia Local School District,2020,"9,565,338",,"9,565,338",,"9,565,338",,,
602760,CA,Antelope Elementary School District,Antelope Elementary School District,2020,"9,051,771",,"9,051,771","3,449,159","12,500,930",,,
602820,CA,Antelope Valley Union High School District,Antelope Valley Union High School District,2020,"268,843,140",,"268,843,140","91,222,578","360,065,718",,,
4808430,TX,Anthony Independent School District,Anthony Independent School District,2020,"2,903,767",,"2,903,767","4,125,197","7,028,964",,,
3904820,OH,Anthony Wayne Local School District,Anthony Wayne Local School District,2020,"50,974,882",,"50,974,882",,"50,974,882",,,
4202480,PA,Antietam School District,Antietam School District,2020,"26,479,000",,"26,479,000",,"26,479,000",,,
5500360,WI,Unified School District of Antigo,Unified School District Of Antigo,2020,,"2,855,175","-2,855,175",,"-2,855,175",,,
1703840,IL,Antioch Community Consolidated School District No. 34,Antioch Community Consolidated School District No. 34,2020,,,0,,0,,,
602850,CA,Antioch Unified School District,Antioch Unified School District,2020,"188,830,000",,"188,830,000","69,210,000","258,040,000",,,
4003060,OK,Antlers Public School District No. I-13,Antlers Public School District No. I-13,2020,,,0,,0,,,
4808460,TX,Anton Independent School District,Anton Independent School District,2020,"760,546",,"760,546","1,134,444","1,894,990",,,
400790,AZ,Apache Junction Unified School District No. 43,Apache Junction Unified School District No. 43,2020,"22,082,846",,"22,082,846",,"22,082,846",,,
1903750,IA,Aplington-Parkersburg Community School District,Aplington-Parkersburg Community School District,2020,"4,563,124",,"4,563,124",,"4,563,124",,,
